Episode,TotalReward,Coverage,MeanUncertainty,ReconstructionAccuracy,ImageCount,RuntimeSeconds,Mode,Timestamp
1,-0.7943,0.5204,0.5943,0.3918,32,0.62,Sequential,00:56:42
2,-0.0489,0.4721,0.6589,0.3016,32,0.64,Sequential,00:56:43
3,-0.3963,0.4966,0.6013,0.3956,32,0.64,Sequential,00:56:43
4,-0.5470,0.4157,0.6870,0.2940,32,0.64,Sequential,00:56:44
5,-0.3892,0.4978,0.6042,0.3912,32,0.64,Sequential,00:56:44
6,0.0519,0.4853,0.6481,0.3204,32,0.64,Sequential,00:56:45
7,-0.2044,0.5185,0.5844,0.4182,32,0.64,Sequential,00:56:46
8,-0.0643,0.4727,0.6543,0.3122,32,0.64,Sequential,00:56:46
9,-0.3520,0.5016,0.5970,0.4013,32,0.64,Sequential,00:56:47
10,-0.2830,0.4828,0.6530,0.3016,32,0.64,Sequential,00:56:48
11,-0.3644,0.4991,0.5994,0.3981,32,0.64,Sequential,00:56:48
12,-0.6874,0.3981,0.6874,0.3047,32,0.64,Sequential,00:56:49
13,-0.2543,0.5116,0.5893,0.4107,32,0.64,Sequential,00:56:50
14,-0.5201,0.4182,0.6851,0.2922,32,0.64,Sequential,00:56:50
15,-0.2236,0.5154,0.5886,0.4069,32,0.64,Sequential,00:56:51
16,-0.5522,0.4144,0.6872,0.2922,32,0.64,Sequential,00:56:52
17,-0.2122,0.5179,0.5922,0.3956,32,0.64,Sequential,00:56:52
18,-0.4335,0.4288,0.6785,0.3022,32,0.64,Sequential,00:56:53
19,-0.2885,0.5097,0.5935,0.4013,32,0.64,Sequential,00:56:53
20,-0.3439,0.4740,0.6539,0.3110,32,0.64,Sequential,00:56:54
21,-0.8404,0.4809,0.6154,0.3762,32,0.64,Sequential,00:56:55
22,-0.5072,0.4201,0.6822,0.2978,32,0.64,Sequential,00:56:55
23,-0.2847,0.5097,0.5947,0.3987,32,0.64,Sequential,00:56:56
24,-0.4880,0.4201,0.6780,0.3129,32,0.64,Sequential,00:56:57
25,-0.2947,0.5072,0.5997,0.3906,32,0.64,Sequential,00:56:57
26,-0.5731,0.4119,0.6881,0.2953,32,0.64,Sequential,00:56:58
27,-0.3894,0.4984,0.5994,0.3981,32,0.64,Sequential,00:56:59
28,-0.6040,0.4088,0.6890,0.2909,32,0.64,Sequential,00:56:59
29,-0.2036,0.5179,0.5886,0.4025,32,0.64,Sequential,00:57:00
30,-0.4179,0.4671,0.6629,0.2972,32,0.64,Sequential,00:57:00
31,-0.1644,0.5223,0.5894,0.3969,32,0.64,Sequential,00:57:01
32,-0.3270,0.4734,0.6570,0.3060,32,0.64,Sequential,00:57:02
33,-0.6817,0.4978,0.6067,0.3799,32,0.64,Sequential,00:57:02
34,-0.8634,0.4150,0.6834,0.2959,32,0.64,Sequential,00:57:03
35,-0.3484,0.5047,0.5984,0.3918,32,0.64,Sequential,00:57:04
36,-0.4189,0.4652,0.6639,0.3009,32,0.64,Sequential,00:57:04
37,-1.0534,0.4915,0.6084,0.3856,32,0.64,Sequential,00:57:05
38,-0.8898,0.4119,0.6898,0.2928,32,0.64,Sequential,00:57:06
39,-1.0132,0.4947,0.6132,0.3762,32,0.64,Sequential,00:57:06
40,-0.7187,0.4658,0.6587,0.3060,32,0.64,Sequential,00:57:07
41,-0.6932,0.4978,0.6082,0.3787,32,0.64,Sequential,00:57:08
42,-0.6233,0.4784,0.6533,0.3103,32,0.64,Sequential,00:57:08
43,-0.6797,0.4984,0.5997,0.3994,32,0.64,Sequential,00:57:09
44,-0.6378,0.4765,0.6578,0.3003,32,0.64,Sequential,00:57:09
45,-0.1322,0.5254,0.5872,0.4100,32,0.64,Sequential,00:57:10
46,-0.6585,0.4740,0.6585,0.3009,32,0.64,Sequential,00:57:11
47,-0.7585,0.4909,0.6135,0.3737,32,0.64,Sequential,00:57:11
48,-1.1495,0.4150,0.6845,0.2940,32,0.64,Sequential,00:57:12
49,-1.2394,0.4702,0.6294,0.3643,32,0.64,Sequential,00:57:13
50,-0.6147,0.4784,0.6547,0.3047,32,0.64,Sequential,00:57:13
